Decision,State,GPA,WorkExp,TestScore,WritingScore,Gender,VolunteerLevel
Admit,California,3.9,6.7,962.0,100,1,0
Admit,Florida,3.8,1.4,969.0,97,1,4
Admit,Colorado,3.6,0.9,969.0,97,0,2
Admit,Colorado,3.92,1.2,969.0,95,1,3
Unknown,California,3.8,1.2,868.5,95,0,4
Admit,California,3.88,1.5,967.0,95,1,5
Admit,California,3.7,1.2,969.0,94,1,2
Admit,Florida,3.9,4.7,961.0,93,1,1
Admit,California,3.7,1.4,966.0,94,1,0
Admit,Florida,3.8,1.7,968.0,91,1,3
Admit,Florida,3.93,0.8,969.0,99,1,4
Admit,Colorado,3.6,1.2,967.0,94,1,2
Admit,California,3.69,3.2,967.0,93,0,3
Admit,Florida,3.7,3.7,969.0,99,0,2
Admit,Colorado,3.9,3.8,967.0,98,1,3
Admit,Colorado,3.78,1.2,966.0,1,0,4
Admit,California,3.7,2.7,799.0,97,0,5
Admit,Florida,3.5,0.7,965.0,91,0,1
Admit,Colorado,3.65,1.7,963.0,90,0,1
Admit,Colorado,3.75,1.1,969.0,93,1,0
Admit,Colorado,6.0,0.8,969.0,93,1,1
Admit,California,3.78,8.7,966.0,91,0,2
Admit,California,3.55,2.8,967.0,95,1,3
Admit,Florida,3.54,0.7,965.0,11,1,1
Admit,Florida,3.66,2.2,967.0,91,0,2
Admit,Florida,3.9,0.0,967.0,88,1,0
Admit,Florida,3.55,0.0,962.0,97,0,0
Admit,Colorado,3.59,1.7,969.0,93,1,0
Admit,California,3.66,0.9,956.0,89,0,1
Admit,Utah,3.78,1.2,968.0,87,1,2
Admit,Colorado,3.88,1.0,969.0,93,0,4
Admit,Florida,3.8,1.9,965.0,94,1,5
Admit,Florida,3.77,1.4,969.0,99,0,4
Admit,California,3.87,1.7,966.0,97,1,5
Decline,Florida,3.56,3.7,899.0,78,0,3
Decline,Florida,3.79,1.4,867.0,77,1,2
Decline,Florida,3.71,0.7,789.0,82,0,4
Decline,Florida,3.74,1.3,800.0,56,1,4
Decline,Florida,3.61,1.3,789.0,56,1,5
Decline,Florida,3.54,0.9,765.0,78,1,0
Decline,Florida,3.84,2.7,896.0,89,1,1
Decline,Florida,2.81,9.2,764.0,56,0,2
Decline,California,2.34,0.8,754.0,76,1,1
Decline,Oregon,2.9,0.9,769.0,87,1,4
Decline,Florida,3.33,1.6,766.0,81,1,5
Decline,Virginia,3.37,0.9,766.0,79,0,2
Decline,Colorado,3.0,1.2,768.0,77,1,1
Decline,Florida,3.1,1.9,751.0,76,0,0
Decline,Virginia,3.22,3.2,769.0,75,0,1
Decline,Florida,3.54,1.1,767.0,65,0,4
Decline,Colorado,3.44,3.2,757.0,74,1,3
Decline,Colorado,2.98,0.7,763.0,71,0,1
Decline,virginia,2.77,3.7,763.0,73,1,5
Decline,Florida,3.18,1.4,768.0,72,0,0
Decline,Colorado,3.11,1.7,758.0,69,1,3
Decline,Colorado,3.32,1.7,768.0,78,0,4
Decline,Utah,3.01,1.4,769.0,69,0,2
Decline,Utah,3.33,0.8,768.0,70,0,1
Decline,mississippi,2.91,6.2,753.0,77,1,1
Decline,Florida,3.56,1.7,769.0,81,1,4
Decline,Colorado,2.85,4.6,762.0,75,1,4
Decline,virginia,3.21,1.7,766.0,79,1,5
Waitlist,Florida,3.4,1.9,859.0,88,0,4
Waitlist,Florida,3.45,4.7,867.0,71,0,3
Waitlist,Florida,3.5,1.7,869.0,73,0,2
Waitlist,New York,3.55,2.2,866.0,74,1,1
Waitlist,Alabama,3.41,1.2,868.0,85,0,0
Waitlist,Georgia,3.56,100.0,866.0,89,0,1
Waitlist,Florida,3.53,1.7,869.0,87,1,2
Waitlist,California,3.42,0.7,869.0,84,1,3
Waitlist,Colorado,3.5,3.5,869.0,83,0,4
Waitlist,Utah,3.39,1.8,866.0,82,1,5
Waitlist,California,3.52,2.7,855.0,87,1,3
Waitlist,Colorado,3.49,1.3,866.0,86,0,5
Waitlist,Colorado,3.43,1.5,869.0,85,1,1
Waitlist,Florida,3.44,7.2,865.0,84,0,2
Waitlist,Florida,3.29,1.2,869.0,83,1,4
Waitlist,Utah,3.58,0.9,864.0,82,1,5
Waitlist,Utah,3.57,1.4,869.0,80,1,0
Waitlist,Florida,3.56,1.3,869.0,84,1,3
Waitlist,Florida,3.55,2.0,853.0,81,0,1
Waitlist,Colorado,3.54,1.2,868.0,83,0,2
Waitlist,Vermont,3.53,3.3,862.0,85,1,1
Waitlist,Florida,3.52,0.7,868.0,81,0,4
Waitlist,Florida,3.51,3.4,865.0,88,1,3
Waitlist,California,3.47,2.2,867.0,77,1,5
Waitlist,Florida,3.46,1.9,869.0,89,1,0
